location,location2,Reference,SpeciesA_db,SpeciesA_query,SpeciesA_Family,SpeciesA_Class,SpeciesA_Order,SpeciesA_Kingdom,SpeciesB_db,SpeciesB_query,SpeciesB_Family,SpeciesB_Class,SpeciesB_Order,SpeciesB_Kingdom,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Cyanopica cyana,Corvidae,Aves,Passeriformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Garrulax canorus,Leiothrichidae,Aves,Passeriformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Garrulax perspicullatus,NA,NA,NA,NA,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Garrullax pectoralis,NA,NA,NA,NA,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Pashianus colchicus,NA,NA,NA,NA,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Phasianus colchicus,Phasianidae,Aves,Galliformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Pica pica,Corvidae,Aves,Passeriformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Pycnonotus sinensis,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Streptopelia orientalis,Columbidae,Aves,Columbiformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
Nanjing. China,,"Avian seed dispersal of the camphor tree (Cinnamomum camphora) Xin-Hua LI College of life sciences, Nanjing Agricultural University Nanjing, 210095, ",ncbi,Turdus hortulorum,Turdidae,Aves,Passeriformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
